Date,City,Decision,Risk,Investment,Temperature,Condition
7/1/2026 1:31,london,HOLD,LOW,100,17.24,Clouds
7/1/2026 1:37,Ahmedabad,HOLD,LOW,100,36.04,Clouds
2026-07-02 01:42:33,Ahmedabad,HOLD,LOW,100,34.12,Clouds
2026-07-02 01:58:04,Ahmedabad,HOLD,LOW,100,34.12,Clouds
2026-07-02 11:16:30,london,HOLD,LOW,100,26.32,Clear
2026-07-02 23:08:50,Ahmedabad,HOLD,LOW,100,31.06,Clouds
2026-07-03 00:30:53,Ahmedabad,HOLD,LOW,100,31.42,Clouds
2026-07-03 01:17:25,Ahmedabad,HOLD,LOW,100,29.45,Clouds
2026-07-03 01:33:56,"surat,IN",HOLD,LOW,100,26.79,Rain
2026-07-03 01:42:26,"london,GB",HOLD,LOW,100,15.88,Clouds
